Time,data
1652390074.7620952,s20000.0
1652390074.8499687,s20000.0
1652390074.949203,s20000.0
1652390075.0397978,s20000.0
1652390075.1368241,s20000.0
1652390075.2247622,s20000.0
1652390075.3218856,s20000.0
1652390075.4107826,s20000.0
1652390075.5202818,s20000.0
1652390075.6196916,s20000.0
1652390075.707638,s20000.0
1652390075.798261,s20000.0
1652390075.893932,s20000.0
1652390075.9908552,s20000.0
1652390076.131885,s20000.0
1652390076.1880894,s20000.0
1652390076.2769,s20000.0
1652390076.3750916,s20000.0
1652390076.4676359,s20000.0
1652390076.573665,s20000.0
1652390076.7462904,s20000.0
1652390076.792916,s20000.0
1652390076.8621807,s20000.0
1652390076.9505622,s20000.0
1652390077.047096,s20000.0
1652390077.135896,s20000.0
1652390077.2334905,s20000.0
1652390077.3321083,s20000.0
1652390077.4325502,s20000.0
1652390077.5207407,s20000.0
1652390077.6203911,s20000.0
1652390077.7080238,s20000.0
1652390077.8052394,s20000.0
1652390077.8949304,s20000.0
1652390077.9913328,s20000.0
1652390078.1012633,s20000.0
1652390078.2014403,s20000.0
1652390078.2891538,s20000.0
1652390078.3760183,s20000.0
1652390078.477629,s20000.0
1652390078.5627882,s20000.0
1652390078.6919384,s20000.0
1652390078.7720413,s20000.0
1652390078.8605497,s20000.0
1652390078.9582264,s20000.0
1652390079.046088,s20000.0
1652390079.1464467,s20000.0
1652390079.234501,s20000.0
1652390079.333105,s20000.0
1652390079.4321163,s20000.0
1652390079.519599,s20000.0
1652390079.7149162,s20000.0
1652390079.7633576,s20000.0
1652390079.81999,s20000.0
1652390079.908565,s20000.0
1652390079.9966822,s20000.0
1652390080.127891,s20000.0
1652390080.2023497,s20000.0
1652390080.3011315,s20000.0
1652390080.3893282,s20000.0
1652390080.4779828,s20000.0
1652390080.578492,s20000.0
1652390080.7427545,s20000.0
1652390080.7843208,s20000.0
1652390080.8758876,s20000.0
1652390080.9632561,s20000.0
1652390081.051209,s20000.0
1652390081.1513336,s20000.0
1652390081.2384171,s20000.0
1652390081.347579,s20000.0
1652390081.4449522,s20000.0
1652390081.533917,s20000.0
1652390081.630044,s20000.0
1652390081.7203908,s20000.0
1652390081.8192525,s20000.0
1652390081.9086003,s20000.0
1652390082.0155275,s20000.0
1652390082.1150806,s20000.0
1652390082.199809,s20000.0
1652390082.2977948,s20000.0
1652390082.397162,s20000.0
1652390082.4833643,s20000.0
1652390082.5827022,s20000.0
1652390082.6730256,s20000.0
1652390082.7876391,s20000.0
1652390082.8815129,s20000.0
1652390082.9671624,s20000.0
1652390083.0666902,s20000.0
1652390083.1542587,s20000.0
1652390083.2989044,s20000.0
1652390083.3439386,s20000.0
1652390083.4423034,s20000.0
1652390083.538382,s20000.0
1652390083.7103326,s20000.0
1652390083.7568057,s20000.0
1652390083.8248336,s20000.0
1652390083.9238007,s20000.0
1652390084.0127041,s20000.0
1652390084.2226598,s20000.0
1652390084.2250705,s20000.0
1652390084.3064222,s20000.0
1652390084.4060833,s20000.0
1652390084.4938452,s20000.0
1652390084.59242,s20000.0
1652390084.680034,s20000.0
1652390084.835916,s20000.0
1652390084.8882985,s20000.0
1652390084.9770882,s20000.0
1652390085.0751605,s20000.0
1652390085.1640234,s20000.0
1652390085.262543,s20000.0
1652390085.3504481,s20000.0
1652390085.5083482,s20000.0
1652390085.5539913,s20000.0
1652390085.6502507,s20000.0
1652390085.7363849,s20000.0
1652390085.8349216,s20000.0
1652390085.9239519,s20000.0
1652390086.064604,s20000.0
1652390086.1329017,s20000.0
1652390086.2198536,s20000.0
1652390086.3726935,s20000.0
1652390086.4200842,s20000.0
1652390086.506901,s20000.0
1652390086.5948606,s20000.0
1652390086.6939726,s20000.0
1652390086.7940054,s20000.0
1652390086.891415,s20000.0
1652390086.9787438,s20000.0
1652390087.0764203,s20000.0
